FirstName,LastName,Email,Phone,Address1,City,State,Zip
coa118,test119,coatest@mindfireinc.com,679011,12311,78911,TX,1234511
coa,atm2,coatatm2@mindfireinc.com,(111) 222-3333,,,CA,92606
coa,atm3,coaatm3@mindfireinc.com,6614333450,1234,adf,CA,90204
admint,123,admint@mindfireinc.com,,,,,
Jack,Frost,jackfrost@mindfireinc.com,949-271-6588,30 Corporate Park,Irvine ,CA,92606
Roger,Rabbit,rogerrabbit@mindfireinc.com,222-333-4444,,,AZ,55555
Tooth,Fairy,toothfairy@mindfireinc.com,,,,,
Wreck,Ralph,WreckRalph@mindfireinc.com,555.555.1234,,Phoenix,AZ,92010
King,Candy,kingcandy@mindfireinc.com,555-555-1212,,Phoenix,AZ,555662
062401f,062401l,062401@gmail.com,,,,,
070202,070202,070202@gmail.com,070202,070202,070202,AL,070202
070203,070203,070203@gmail.com,070203,070203,070203,AK,070203
Jackie,Chan,070204@gmail.com,070204,070204,070204,AZ,070204
070501,070501,070501@gmail.com,070501,070501,070501,ME,070501
Jack,Campbell,070602@gmail.com,070602,070602,070602,AK,92604
coa,mf,boonsom@mindfiremail.info,070603P,070603A,070603C,DE,070603Z
boonsom,coa,boonsom@mindfireinc.com,1234567890,123 Jumbo St.,Irvine,CA,92606
Carol,Hicks,chicks@gmail.com,999-999-9999,123 Main Street,San Diego,CA,92109
Roger,Jones,rodger.jone1234@gmail.com,,,,CA,
Joe,Smith,joe@joe.com,,,,,
John,Shind,paagla123@gmail.com,17148898900,123 Any Street,Mytown,CA,92606
Kerim,Smith,Ksmith@prografica.com,,,,,
Rick,Ayers,rick@rick.com,,,,,
Gary,T,gary@gary.com,,,,,
David,Seltzer,d.seltzer@duggal.com,,123 Main Street,New York,NY,11111
Shawn,Johnson,s.johnson@duggal.com,,111 Main Street,New York,NY,11111
Mike,Lambert,m.lambert@duggal.com,,222 Main Street,New York,NY,11111
Fiona,Sheridan,fiona@duggal.com,,333 Main Street,Pittsburgh,PA,11111
