FirstName,LastName,Email,Phone,Address1,City,State,Zip
coa,atm2,tt994613+12@gmail.com,(111) 222-3333,,,CA,92606
coa,atm1,tt994613+11@gmail.com,6614333450,Address1,City,CA,90204
coa,atm3,tt994613+10@gmail.com,6614333450,1234,adf,CA,90204
Jack,Frost,jackfrost@mindfireinc.com,949-271-6588,30 Corporate Park,Irvine,CA,92606
Tooth,Fairy,toothfairy2@mindfireinc.com,111--111,aaa,Irvine,CA,92604
boonsom,coa,boonsom@mindfireinc.com,1234567890,123 Jumbo St.,Irvine,CA,92606
Carol,Hicks,chicks@gmail.com,999-999-9999,123 Main Street,San Diego,CA,92109
Roger,Jones,rodger.jone1234@gmail.com,,,,CA,
test01,test02,test03@yahoo.com,,,,CA,
test21,test22,test23@hotmail.com,,,,CA,
John,Shind,paagla123@gmail.com,17148898900,123 Any Street,Mytown,CA,92606
